"Old Path","Old URL","New URL","Associated Type","Associated ID"
/plants/bambusa-vulgaris-indoor-bamboo/,http://houston-interior-plants.mybigcommerce.com/plants/bambusa-vulgaris-indoor-bamboo/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/bambusa-vulgaris-indoor-bamboo/,Product,125
/plants/large-kentia-palm/,http://houston-interior-plants.mybigcommerce.com/plants/large-kentia-palm/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/kentia-palm-large/,Product,127
/plants/large-yucca-cane/,http://houston-interior-plants.mybigcommerce.com/plants/large-yucca-cane/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/large-yucca-cane/,Product,128
/plants/premium-corn-plant/,http://houston-interior-plants.mybigcommerce.com/plants/premium-corn-plant/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/premium-corn-plant/,Product,129
/plants/marginata-dragon-tree/,http://houston-interior-plants.mybigcommerce.com/plants/marginata-dragon-tree/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/marginata-dragon-tree/,Product,130
/plants/large-ponytail-palm/,http://houston-interior-plants.mybigcommerce.com/plants/large-ponytail-palm/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/ponytail-palm-large/,Product,131
/shop-for-plants/all-plants/large-ponytail-palm/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/all-plants/large-ponytail-palm/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/ponytail-palm-large/,Product,131
/plants/variegated-arboricola-column/,http://houston-interior-plants.mybigcommerce.com/plants/variegated-arboricola-column/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/variegated-arboricola-column/,Product,132
/plants/dracaena-warneckii-goldstar/,http://houston-interior-plants.mybigcommerce.com/plants/dracaena-warneckii-goldstar/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/warneckii-goldstar-large/,Product,133
/plants/large-spath-sensation-closet-plant-peace-lily/,http://houston-interior-plants.mybigcommerce.com/plants/large-spath-sensation-closet-plant-peace-lily/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/large-spath-sensation-closet-plant-peace-lily/,Product,134
/plants/tall-marginata-dragon-tree/,http://houston-interior-plants.mybigcommerce.com/plants/tall-marginata-dragon-tree/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/tall-marginata-dragon-tree/,Product,135
/plants/extra-large-rhapis-lady-palm/,http://houston-interior-plants.mybigcommerce.com/plants/extra-large-rhapis-lady-palm/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/extra-large-rhapis-lady-palm/,Product,126
/planters-containers/barcelona/,http://houston-interior-plants.mybigcommerce.com/planters-containers/barcelona/,http://houston-interior-plants.mybigcommerce.com/shop-for-pots/loft-collection/barcelona/,Product,194
/shop-for-pots/planters-containers/barcelona/,http://houston-interior-plants.mybigcommerce.com/shop-for-pots/planters-containers/barcelona/,http://houston-interior-plants.mybigcommerce.com/shop-for-pots/loft-collection/barcelona/,Product,194
/shop-for-pots/all-pots/barcelona/,http://houston-interior-plants.mybigcommerce.com/shop-for-pots/all-pots/barcelona/,http://houston-interior-plants.mybigcommerce.com/shop-for-pots/loft-collection/barcelona/,Product,194
/planters-containers/california/,http://houston-interior-plants.mybigcommerce.com/planters-containers/california/,http://houston-interior-plants.mybigcommerce.com/shop-for-pots/loft-collection/california/,Product,195
/planters-containers/milano/,http://houston-interior-plants.mybigcommerce.com/planters-containers/milano/,http://houston-interior-plants.mybigcommerce.com/shop-for-pots/loft-collection/milano/,Product,196
/planters-containers/mendoza/,http://houston-interior-plants.mybigcommerce.com/planters-containers/mendoza/,http://houston-interior-plants.mybigcommerce.com/shop-for-pots/loft-collection/mendoza/,Product,225
/planters-containers/brussels/,http://houston-interior-plants.mybigcommerce.com/planters-containers/brussels/,http://houston-interior-plants.mybigcommerce.com/shop-for-pots/home-collection/brussels/,Product,208
/planters-containers/havana/,http://houston-interior-plants.mybigcommerce.com/planters-containers/havana/,http://houston-interior-plants.mybigcommerce.com/shop-for-pots/home-collection/havana/,Product,207
/planters-containers/newport-boat/,http://houston-interior-plants.mybigcommerce.com/planters-containers/newport-boat/,http://houston-interior-plants.mybigcommerce.com/shop-for-pots/home-collection/newport-boat/,Product,204
/planters-containers/newport-bowl/,http://houston-interior-plants.mybigcommerce.com/planters-containers/newport-bowl/,http://houston-interior-plants.mybigcommerce.com/shop-for-pots/home-collection/newport-bowl/,Product,202
/planters-containers/gordes/,http://houston-interior-plants.mybigcommerce.com/planters-containers/gordes/,http://houston-interior-plants.mybigcommerce.com/shop-for-pots/home-collection/gordes/,Product,209
/planters-containers/avignon/,http://houston-interior-plants.mybigcommerce.com/planters-containers/avignon/,http://houston-interior-plants.mybigcommerce.com/shop-for-pots/home-collection/avignon/,Product,210
/planters-containers/provence/,http://houston-interior-plants.mybigcommerce.com/planters-containers/provence/,http://houston-interior-plants.mybigcommerce.com/shop-for-pots/home-collection/provence/,Product,211
/shop-for-plants/by-light-level/hight-light-plants/bambusa-vulgaris-indoor-bamboo/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/by-light-level/hight-light-plants/bambusa-vulgaris-indoor-bamboo/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/bambusa-vulgaris-indoor-bamboo/,Product,125
/shop-for-plants/all-plants/bird-of-paradise-medium/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/all-plants/bird-of-paradise-medium/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/bird-of-paradise-medium/,Product,308
/shop-for-plants/all-plants/kentia-palm-medium/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/all-plants/kentia-palm-medium/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/kentia-palm-medium/,Product,307
/shop-for-plants/all-plants/extra-large-rhapis-lady-palm/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/all-plants/extra-large-rhapis-lady-palm/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/extra-large-rhapis-lady-palm/,Product,126
/shop-for-plants/all-plants/tall-marginata-dragon-tree/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/all-plants/tall-marginata-dragon-tree/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/tall-marginata-dragon-tree/,Product,135
/shop-for-plants/all-plants/large-spath-sensation-closet-plant-peace-lily/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/all-plants/large-spath-sensation-closet-plant-peace-lily/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/large-spath-sensation-closet-plant-peace-lily/,Product,134
